cases,ICU,DEATHS,TESTS
14,320,6221,9697
146,325,6249,21545
1424,325,6272,13643
884,326,6297,19966
880,346,6321,23309
2147,357,6343,20892
1913,357,6371,14716
1784,367,6410,10197
179,371,6439,25131
163,379,6468,22523
1269,391,6504,23192
1176,406,6534,23861
2353,422,6557,23323
2702,431,6597,16718
2219,449,6632,11846
2215,451,6664,26693
2301,452,6705,24435
1142,466,6758,24368
1165,477,6797,26171
3215,484,6843,23687
2633,479,6886,15311
257,506,6937,1203
2405,521,6986,2287
2512,545,7038,19224
1626,564,7091,18754
1134,564,7137,17733
1533,605,7196,18795
3465,630,7252,8579
3073,645,7297,612
2785,649,7361,6244
2535,672,7421,24721
1514,674,7462,20235
1707,681,7531,18947
3586,699,7582,17681
3062,699,7649,7593
2588,706,7701,6915
1496,707,7754,24091
3133,728,7826,19904
1449,735,7880,16483
1724,738,7945,5911
434,741,8017,19538
3616,739,8093,8426
3491,755,8160,6724
308,753,8232,23158
3232,755,8302,19477
1955,749,8380,17628
1866,759,8453,19049
4309,751,8532,19427
3445,749,8607,8375
3228,776,868,6652
2747,790,8758,24543
2801,781,8833,20419
1718,780,8885,18058
1606,781,8961,1839
4033,802,9054,18466
3089,809,9135,6858
3833,819,9239,6988
3067,824,933,24958
2411,837,9397,18469
1829,841,9462,20814
1607,847,954,19874
3789,847,9627,17532
3015,831,9713,769
2759,822,9788,6597
2754,819,9864,23623
2597,797,995,17452
14,816,10007,19779
1317,811,10087,18285
3313,813,10179,17923
2781,805,10242,8547
2435,817,10315,6044
2155,802,10381,24488
1391,811,10453,18765
0,811,10453,18309
2146,797,10587,15681
1387,783,10668,7379
2093,765,10764,0
3421,754,10847,9948
2691,749,1091,7058
2461,737,10978,9119
1428,728,11029,23804
1904,732,11089,17857
3197,732,11141,17884
2489,707,11211,7356
2167,683,11266,7169
2188,677,11322,26117
1957,661,11365,18499
1262,656,11415,17397
1402,647,11471,187
2812,639,11534,16573
2293,642,11587,7761
1918,626,11641,5352
202,617,11697,22211
1505,586,11734,16641
877,569,11772,16349
1381,563,11822,15979
2433,556,11872,15658
1517,547,11916,65
1905,540,11955,4953
1585,521,11995,21761
1497,510,12024,15869
907,497,12054,14472
1007,481,12095,14609
1886,482,12122,14424
1381,486,12145,6318
1239,476,12184,5289
1112,445,12218,19537
932,416,12253,14596
580,398,12277,14647
808,392,12301,1405
1339,381,12331,15151
890,381,12346,6773
781,376,1237,5236
791,375,12381,18395
591,360,12405,13926
297,358,12422,13242
472,353,12443,1365
835,343,12465,14208
549,330,12478,5953
519,321,12494,4335
469,307,12514,16393
394,301,12534,1274
248,296,12548,1252
209,283,12565,1263
406,277,12581,12108
520,271,12595,4887
489,256,12613,3947
395,239,12634,7246
375,238,12646,15582
236,231,12664,12658
362,215,12682,12592
605,204,12695,10801
633,196,12706,5711
761,189,1271,4514
771,186,12722,14223
1001,177,12731,11946
619,177,12737,12349
801,173,12743,12584
1797,168,12754,11358
182,159,12763,5737
2107,153,12773,4841
1997,141,12785,15656
2327,142,12787,13578
1465,142,12792,13433
2065,139,12802,13456
3109,133,12806,14075
2938,135,12813,7414
2794,132,12819,6008
2691,123,12833,18798
2562,124,1284,15007
1558,123,1285,15413
1834,123,12858,15592
3565,121,12867,16053
2972,125,1287,972
2604,126,12875,584
2854,130,12882,1876
2472,133,1289,14285
1553,134,12898,15328
207,147,12903,15656
3593,142,12911,14789
2874,144,12926,7908
2696,157,12935,5457
2845,165,12948,17589
276,172,12965,13741
1605,176,12975,15161
2156,188,12983,15285
3428,191,12997,15287
2856,192,13013,7852
28,192,13026,5628
2925,191,13048,17844
2768,198,13058,13698
1852,204,13075,13588
2595,207,13097,13946
4181,219,13118,14731
3475,226,13138,7942
3605,240,13158,6061
3493,235,13182,17878
327,236,13206,13831
1888,241,13223,12969
2218,250,13237,1312
4206,258,13253,13852
3442,282,13278,7584
3273,286,13298,5376
3625,296,13328,19904
3191,317,13351,16014
1948,318,13384,15175
2628,319,13422,15531
4608,326,13466,15007
3273,332,13509,8744
3538,336,13539,6292
3076,337,13561,23867
3064,333,13599,17144
1582,334,13636,16039
2343,338,13656,15196
3628,344,13691,16108
2871,346,13743,8974
284,362,13777,67
2729,364,13813,23887
2286,381,13843,22748
1291,381,13886,21702
1765,379,13933,15029
2807,388,13971,15526
2198,390,14014,7442
217,384,1406,7216
2132,378,14102,21714
2197,375,14141,17087
1319,378,14169,13938
1608,379,14223,13314
2919,369,14268,13384
2422,364,14311,7803
2322,359,14354,5463
2255,352,14394,17828
219,348,14433,14502
1305,348,14466,14385
2126,342,14505,13904
304,333,14548,15178
2329,333,14575,9124
2125,331,14606,5652
2046,331,14639,20836
1853,333,14655,15453
11,337,14679,12703
213,323,14727,14026
2978,322,14751,14231
2187,323,14795,7598
2232,326,14828,5947
2636,329,1486,19136
1837,332,14889,14135
1165,332,1492,14789
2125,342,14956,14065
2876,334,14991,13799
2331,347,15012,7113
2249,335,15042,5064
2324,334,15069,17941
2197,331,15105,13759
1358,333,15135,13844
2383,331,15177,12504
3065,336,1521,1179
2338,343,15241,7076
2601,347,15289,5049
2665,368,15317,17006
2313,361,15348,13786
1712,357,15375,13527
3164,347,15418,12317
3739,356,15447,11891
3279,351,15485,7025
3407,347,15519,5496
3585,348,15555,1779
3199,353,15598,14296
2098,365,15628,14509
3937,354,15682,13925
4165,380,15707,13428
3651,387,1577,7333
2984,391,15801,597
3643,392,15856,18001
4696,404,15894,12412
2727,421,15938,12905
5449,430,1599,5482
67,434,1605,16366
615,431,16109,811
6808,441,16151,609
6909,450,162,22008
6393,459,16243,16652
4307,470,16295,16937
7335,477,16361,16764
8613,486,16414,1792
7105,489,16493,9933
6801,503,1656,7047
6862,508,16616,24586
6154,530,16686,18649
3869,536,16766,19278
695,551,16838,18001
8129,547,16923,18958
6682,561,17012,10905
7317,556,17075,7091
7805,575,17168,264
5991,594,17237,19887
4108,590,17313,19056
7287,608,17425,18222
81,597,17517,182
7108,612,17612,10163
6565,621,17693,6929
6602,630,17779,25586
587,641,17861,19372
3823,647,17959,19125
6677,657,18067,18911
7486,664,18157,18409
6196,690,18234,106
626,704,18325,6763
6201,694,18427,25684
5157,697,18516,20283
3526,715,18595,19538
4943,714,18716,21134
7009,697,18815,22941
5899,709,18901,13438
5523,708,18982,8298
5087,702,19085,31971
4761,705,19157,25496
3225,708,19248,24028
3841,709,19345,23172
5736,700,19475,23222
4801,683,19553,12053
4696,692,19651,8355
4766,684,19736,30037
4345,684,19799,24329
2831,662,19891,22872
3689,670,19976,21987
6424,661,20055,22712
5641,665,20126,12757
6667,655,20198,8837
7665,624,20292,30878
659,617,2035,24818
4036,624,20429,25457
9284,629,20496,29165
21657,635,20557,28051
28828,620,20636,7004
3558,636,20708,10214
4056,627,2079,48655
3001,620,20849,4838
17633,626,2091,60693
36246,615,2099,81704
50126,619,21053,52326
43386,628,21115,11921
33716,639,21185,20823
29334,632,21263,81484
37676,634,21328,59058
18592,642,21394,51753
27766,654,21479,15949
32694,640,21559,62442
24246,670,21637,26837
20409,664,21732,16059
19772,679,21809,61099
17447,686,21888,40934
10783,680,21984,36026
18834,672,22087,32356
2334,673,22197,34579
20107,683,22285,17729
18869,688,22366,1184
20507,679,22476,47088
18333,668,22549,32211
12108,665,22635,30776
19075,655,22748,29931
17409,653,22852,30929
1796,646,2297,1596
19712,633,23083,10844
22362,605,23195,29701
19584,583,23275,1626
11124,571,23372,23178
19731,576,235,31208
24308,563,23608,30138
18825,561,23721,151
17662,568,23833,10431
1864,564,23927,40684
16023,567,23999,28338
10985,551,24094,25777
18855,549,2421,26331
22889,524,24322,25604
19618,515,2441,1432
19154,516,24507,9822
17656,512,24609,3361
16442,507,24679,26818
10853,499,24754,26243
20361,494,24836,27278
21412,489,24917,25384
19509,485,25001,13675
19504,484,25095,10189
18605,470,25183,36623
15305,463,2526,26507
9596,471,25327,25994
18094,460,25417,25782
19623,455,25485,24784
16962,459,25538,13182
15829,454,25603,9085
15909,433,25668,33919
11883,425,25719,24748
8214,417,25785,2069
16274,413,2586,23271
17176,408,25914,21657
15557,399,25972,12559
15783,393,26036,8897
1606,389,26092,28724
12997,384,26143,22355
9213,376,26194,22256
8639,370,26246,22817
21121,365,26303,21737
23335,360,26366,1135
21863,359,26424,9061
2126,361,26473,10384
19002,363,26513,36951
11986,356,26562,25353
22694,364,26635,24662
26536,358,26686,24635
23748,354,2673,13542
24256,348,26792,10215
23621,354,26847,35002
19705,349,26893,24943
12462,346,26937,24871
23529,337,26995,25241
26785,342,27029,24243
23106,338,27083,13092
22107,344,27125,9234
16234,346,2716,33898
16558,341,27216,23511
13429,342,27268,22672
2749,342,27341,22412
28933,351,27392,7368
22451,348,27454,15209
21099,355,2751,9464
21102,351,27571,33165
15823,357,27623,23831
10358,356,27684,22497
